You entered a buffer length of 20
0.100025, -0.206724, 0.940851; 0.107075, -0.206866, 0.940303; 0.000000, 0.155355; -0.219153, 0.000000; 0.000000, 1.059649
0.087729, -0.200510, 0.940851; 0.097402, -0.203688, 0.940577; 0.000000, 0.155355; -0.219153, 0.000000; 0.000000, 1.059649
0.075433, -0.200510, 0.940851; 0.086417, -0.202099, 0.940713; 0.000000, 0.155355; -0.219153, 0.000000; 0.000000, 1.059649
0.075433, -0.194295, 0.947104; 0.080925, -0.198197, 0.943908; 0.000000, 0.155355; -0.219153, 0.000000; 0.000000, 1.059649
0.075433, -0.194295, 0.947104; 0.078179, -0.196246, 0.945505; 0.000000, 0.155355; -0.219153, 0.000000; 0.000000, 1.059649
0.069286, -0.188081, 0.953356; 0.073732, -0.192163, 0.949430; 0.000000, 0.155355; -0.219153, 0.000000; 0.000000, 1.059649
0.069286, -0.175652, 0.959609; 0.071509, -0.183907, 0.954519; 0.000000, 0.155355; -0.219153, 0.000000; 0.000000, 1.059649
0.075433, -0.157008, 0.965861; 0.073471, -0.170458, 0.960190; 0.000000, 0.155355; -0.219153, 0.000000; 0.000000, 1.059649
0.075433, -0.144579, 0.984619; 0.074452, -0.157519, 0.972404; 0.000000, 0.155355; -0.219153, 0.000000; 0.000000, 1.059649
0.081581, -0.138365, 0.990871; 0.078017, -0.147942, 0.981637; 0.000000, 0.155355; -0.219153, 0.000000; 0.000000, 1.059649
0.087729, -0.125936, 0.997124; 0.082873, -0.136939, 0.989380; 0.000000, 0.155355; -0.219153, 0.000000; 0.000000, 1.059649
0.087729, -0.119722, 1.009629; 0.085301, -0.128330, 0.999504; 0.000000, 0.155355; -0.219153, 0.000000; 0.000000, 1.059649
0.093877, -0.113507, 1.015882; 0.089589, -0.120919, 1.007692; 0.000000, 0.155355; -0.219153, 0.000000; 0.000000, 1.059649
0.106172, -0.107293, 1.028387; 0.097880, -0.114105, 1.018039; 0.000000, 0.155355; -0.219153, 0.000000; 0.000000, 1.059649
0.106172, -0.101078, 1.040892; 0.102026, -0.107592, 1.029465; 0.000000, 0.155355; -0.219153, 0.000000; 0.000000, 1.059649
0.118468, -0.101078, 1.047144; 0.110247, -0.104335, 1.038304; 0.000000, 0.155355; -0.219153, 0.000000; 0.000000, 1.059649
0.130764, -0.094864, 1.059649; 0.120505, -0.099599, 1.048976; 0.000000, 0.155355; -0.219153, 0.000000; 0.000000, 1.059649
0.130764, -0.101078, 1.053397; 0.125634, -0.100339, 1.051186; 0.000000, 0.155355; -0.219153, 0.000000; 0.000000, 1.059649
0.143059, -0.101078, 1.053397; 0.134347, -0.100708, 1.052291; 0.000000, 0.155355; -0.219153, 0.000000; 0.000000, 1.059649
0.155355, -0.101078, 1.053397; 0.144851, -0.100893, 1.052843; 0.000000, 0.155355; -0.219153, 0.000000; 0.000000, 1.059649
0.161502, -0.101078, 1.059649; 0.153177, -0.100986, 1.056246; 0.000000, 0.161502; -0.219153, 0.000000; 0.000000, 1.059649
0.179946, -0.101078, 1.065902; 0.166561, -0.101032, 1.061073; 0.000000, 0.179946; -0.219153, 0.000000; 0.000000, 1.065902
0.186094, -0.101078, 1.065902; 0.176327, -0.101055, 1.063487; 0.000000, 0.186094; -0.219153, 0.000000; 0.000000, 1.065902
0.198389, -0.107293, 1.072154; 0.187358, -0.104174, 1.067820; 0.000000, 0.198389; -0.219153, 0.000000; 0.000000, 1.072154
0.210685, -0.113507, 1.065902; 0.199022, -0.108840, 1.066861; 0.000000, 0.210685; -0.219153, 0.000000; 0.000000, 1.072154
0.222980, -0.119722, 1.072154; 0.211001, -0.114281, 1.069507; 0.000000, 0.222980; -0.219153, 0.000000; 0.000000, 1.072154
0.241424, -0.132151, 1.072154; 0.226212, -0.123216, 1.070830; 0.000000, 0.241424; -0.219153, 0.000000; 0.000000, 1.072154
0.247572, -0.150794, 1.072154; 0.236892, -0.137005, 1.071492; 0.000000, 0.247572; -0.219153, 0.000000; 0.000000, 1.072154
0.253719, -0.157008, 1.072154; 0.245306, -0.147006, 1.071823; 0.000000, 0.253719; -0.219153, 0.000000; 0.000000, 1.072154
0.272163, -0.169437, 1.078407; 0.258734, -0.158222, 1.075114; 0.000000, 0.272163; -0.219153, 0.000000; 0.000000, 1.078407
0.272163, -0.181866, 1.084660; 0.265448, -0.170044, 1.079886; 0.000000, 0.272163; -0.219153, 0.000000; 0.000000, 1.084660
0.284458, -0.188081, 1.090912; 0.274953, -0.179062, 1.085399; 0.000000, 0.284458; -0.219153, 0.000000; 0.000000, 1.090912
0.290606, -0.194295, 1.090912; 0.282780, -0.186679, 1.088155; 0.000000, 0.290606; -0.219153, 0.000000; 0.000000, 1.090912
0.296754, -0.212938, 1.097165; 0.289767, -0.199809, 1.092659; 0.000000, 0.296754; -0.219153, 0.000000; 0.000000, 1.097165
0.309049, -0.219153, 1.103417; 0.299408, -0.209481, 1.098038; 0.000000, 0.309049; -0.219153, 0.000000; 0.000000, 1.103417
0.321345, -0.231582, 1.097165; 0.310377, -0.220531, 1.097601; 0.000000, 0.321345; -0.231582, 0.000000; 0.000000, 1.103417
