You entered a buffer length of 20
0.038547, 0.103999, 1.097165; 0.019273, 0.052000, 0.548582; 0.000000, 0.038547; 0.000000, 0.103999; 0.000000, 1.097165
0.044694, 0.103999, 1.097165; 0.031984, 0.077999, 0.822873; 0.000000, 0.044694; 0.000000, 0.103999; 0.000000, 1.097165
0.038547, 0.097785, 1.097165; 0.035265, 0.087892, 0.960019; 0.000000, 0.044694; 0.000000, 0.103999; 0.000000, 1.097165
0.038547, 0.103999, 1.097165; 0.036906, 0.095945, 1.028592; 0.000000, 0.044694; 0.000000, 0.103999; 0.000000, 1.097165
0.038547, 0.097785, 1.097165; 0.037726, 0.096865, 1.062878; 0.000000, 0.044694; 0.000000, 0.103999; 0.000000, 1.097165
0.038547, 0.097785, 1.097165; 0.038137, 0.097325, 1.080021; 0.000000, 0.044694; 0.000000, 0.103999; 0.000000, 1.097165
0.038547, 0.103999, 1.097165; 0.038342, 0.100662, 1.088593; 0.000000, 0.044694; 0.000000, 0.103999; 0.000000, 1.097165
0.044694, 0.097785, 1.097165; 0.041518, 0.099223, 1.092879; 0.000000, 0.044694; 0.000000, 0.103999; 0.000000, 1.097165
0.044694, 0.103999, 1.097165; 0.043106, 0.101611, 1.095022; 0.000000, 0.044694; 0.000000, 0.103999; 0.000000, 1.097165
0.044694, 0.097785, 1.103417; 0.043900, 0.099698, 1.099219; 0.000000, 0.044694; 0.000000, 0.103999; 0.000000, 1.103417
0.044694, 0.097785, 1.103417; 0.044297, 0.098741, 1.101318; 0.000000, 0.044694; 0.000000, 0.103999; 0.000000, 1.103417
0.038547, 0.097785, 1.097165; 0.041422, 0.098263, 1.099241; 0.000000, 0.044694; 0.000000, 0.103999; 0.000000, 1.103417
0.038547, 0.097785, 1.103417; 0.039984, 0.098024, 1.101329; 0.000000, 0.044694; 0.000000, 0.103999; 0.000000, 1.103417
0.044694, 0.103999, 1.097165; 0.042339, 0.101011, 1.099247; 0.000000, 0.044694; 0.000000, 0.103999; 0.000000, 1.103417
0.044694, 0.103999, 1.097165; 0.043517, 0.102505, 1.098206; 0.000000, 0.044694; 0.000000, 0.103999; 0.000000, 1.103417
0.038547, 0.103999, 1.090912; 0.041032, 0.103252, 1.094559; 0.000000, 0.044694; 0.000000, 0.103999; 0.000000, 1.103417
0.038547, 0.097785, 1.097165; 0.039789, 0.100518, 1.095862; 0.000000, 0.044694; 0.000000, 0.103999; 0.000000, 1.103417
0.038547, 0.097785, 1.103417; 0.039168, 0.099151, 1.099639; 0.000000, 0.044694; 0.000000, 0.103999; 0.000000, 1.103417
0.038547, 0.103999, 1.097165; 0.038857, 0.101575, 1.098402; 0.000000, 0.044694; 0.000000, 0.103999; 0.000000, 1.103417
0.038547, 0.103999, 1.097165; 0.038702, 0.102787, 1.097783; 0.000000, 0.044694; 0.000000, 0.103999; 0.000000, 1.103417
0.038547, 0.103999, 1.103417; 0.038624, 0.103393, 1.100600; 0.000000, 0.044694; 0.000000, 0.103999; 0.000000, 1.103417
0.038547, 0.103999, 1.103417; 0.038585, 0.103696, 1.102008; 0.000000, 0.044694; 0.000000, 0.103999; 0.000000, 1.103417
0.038547, 0.103999, 1.097165; 0.038566, 0.103847, 1.099586; 0.000000, 0.044694; 0.000000, 0.103999; 0.000000, 1.103417
0.038547, 0.103999, 1.097165; 0.038556, 0.103923, 1.098375; 0.000000, 0.044694; 0.000000, 0.103999; 0.000000, 1.103417
0.038547, 0.103999, 1.097165; 0.038551, 0.103961, 1.097769; 0.000000, 0.044694; 0.000000, 0.103999; 0.000000, 1.103417
0.038547, 0.103999, 1.097165; 0.038549, 0.103980, 1.097466; 0.000000, 0.044694; 0.000000, 0.103999; 0.000000, 1.103417
0.044694, 0.103999, 1.097165; 0.041622, 0.103989, 1.097315; 0.000000, 0.044694; 0.000000, 0.103999; 0.000000, 1.103417
0.044694, 0.103999, 1.103417; 0.043158, 0.103994, 1.100366; 0.000000, 0.044694; 0.000000, 0.103999; 0.000000, 1.103417
0.044694, 0.103999, 1.103417; 0.043926, 0.103997, 1.101891; 0.000000, 0.044694; 0.000000, 0.103999; 0.000000, 1.103417
0.044694, 0.103999, 1.097165; 0.044310, 0.103998, 1.099527; 0.000000, 0.044694; 0.000000, 0.103999; 0.000000, 1.103417
0.044694, 0.103999, 1.097165; 0.044502, 0.103998, 1.098345; 0.000000, 0.044694; 0.000000, 0.103999; 0.000000, 1.103417
0.044694, 0.097785, 1.097165; 0.044598, 0.100891, 1.097754; 0.000000, 0.044694; 0.000000, 0.103999; 0.000000, 1.103417
0.044694, 0.103999, 1.097165; 0.044646, 0.102445, 1.097459; 0.000000, 0.044694; 0.000000, 0.103999; 0.000000, 1.103417
0.044694, 0.103999, 1.090912; 0.044670, 0.103222, 1.094185; 0.000000, 0.044694; 0.000000, 0.103999; 0.000000, 1.103417
0.038547, 0.103999, 1.097165; 0.041609, 0.103610, 1.095674; 0.000000, 0.044694; 0.000000, 0.103999; 0.000000, 1.103417
0.038547, 0.103999, 1.097165; 0.040078, 0.103805, 1.096419; 0.000000, 0.044694; 0.000000, 0.103999; 0.000000, 1.103417
0.032399, 0.103999, 1.097165; 0.036238, 0.103902, 1.096791; 0.000000, 0.044694; 0.000000, 0.103999; 0.000000, 1.103417
0.038547, 0.110214, 1.097165; 0.037392, 0.107058, 1.096977; 0.000000, 0.044694; 0.000000, 0.110214; 0.000000, 1.103417
0.032399, 0.103999, 1.097165; 0.034896, 0.105528, 1.097071; 0.000000, 0.044694; 0.000000, 0.110214; 0.000000, 1.103417
0.038547, 0.103999, 1.097165; 0.036721, 0.104764, 1.097117; 0.000000, 0.044694; 0.000000, 0.110214; 0.000000, 1.103417
0.038547, 0.103999, 1.090912; 0.037634, 0.104381, 1.094014; 0.000000, 0.044694; 0.000000, 0.110214; 0.000000, 1.103417
0.044694, 0.103999, 1.090912; 0.041164, 0.104190, 1.092463; 0.000000, 0.044694; 0.000000, 0.110214; 0.000000, 1.103417
0.038547, 0.103999, 1.090912; 0.039855, 0.104095, 1.091687; 0.000000, 0.044694; 0.000000, 0.110214; 0.000000, 1.103417
0.038547, 0.103999, 1.090912; 0.039201, 0.104047, 1.091299; 0.000000, 0.044694; 0.000000, 0.110214; 0.000000, 1.103417
0.038547, 0.097785, 1.097165; 0.038874, 0.100916, 1.094231; 0.000000, 0.044694; 0.000000, 0.110214; 0.000000, 1.103417
0.038547, 0.103999, 1.097165; 0.038710, 0.102457, 1.095697; 0.000000, 0.044694; 0.000000, 0.110214; 0.000000, 1.103417
0.038547, 0.103999, 1.097165; 0.038628, 0.103228, 1.096431; 0.000000, 0.044694; 0.000000, 0.110214; 0.000000, 1.103417
0.038547, 0.097785, 1.090912; 0.038588, 0.100506, 1.093671; 0.000000, 0.044694; 0.000000, 0.110214; 0.000000, 1.103417
0.038547, 0.103999, 1.097165; 0.038567, 0.102253, 1.095417; 0.000000, 0.044694; 0.000000, 0.110214; 0.000000, 1.103417
0.038547, 0.103999, 1.090912; 0.038557, 0.103126, 1.093164; 0.000000, 0.044694; 0.000000, 0.110214; 0.000000, 1.103417
0.038547, 0.103999, 1.097165; 0.038552, 0.103562, 1.095164; 0.000000, 0.044694; 0.000000, 0.110214; 0.000000, 1.103417
0.038547, 0.103999, 1.090912; 0.038549, 0.103781, 1.093037; 0.000000, 0.044694; 0.000000, 0.110214; 0.000000, 1.103417
0.044694, 0.097785, 1.090912; 0.041622, 0.100783, 1.091974; 0.000000, 0.044694; 0.000000, 0.110214; 0.000000, 1.103417
0.038547, 0.103999, 1.090912; 0.040084, 0.102391, 1.091443; 0.000000, 0.044694; 0.000000, 0.110214; 0.000000, 1.103417
0.038547, 0.103999, 1.090912; 0.039315, 0.103195, 1.091177; 0.000000, 0.044694; 0.000000, 0.110214; 0.000000, 1.103417
0.038547, 0.103999, 1.090912; 0.038931, 0.103597, 1.091044; 0.000000, 0.044694; 0.000000, 0.110214; 0.000000, 1.103417
0.050842, 0.097785, 1.097165; 0.044887, 0.100691, 1.094104; 0.000000, 0.050842; 0.000000, 0.110214; 0.000000, 1.103417
0.044694, 0.097785, 1.103417; 0.044790, 0.099238, 1.098760; 0.000000, 0.050842; 0.000000, 0.110214; 0.000000, 1.103417
0.038547, 0.097785, 1.097165; 0.041669, 0.098511, 1.097962; 0.000000, 0.050842; 0.000000, 0.110214; 0.000000, 1.103417
0.038547, 0.097785, 1.097165; 0.040108, 0.098148, 1.097563; 0.000000, 0.050842; 0.000000, 0.110214; 0.000000, 1.103417
0.038547, 0.097785, 1.097165; 0.039327, 0.097966, 1.097363; 0.000000, 0.050842; 0.000000, 0.110214; 0.000000, 1.103417
0.032399, 0.097785, 1.097165; 0.035863, 0.097875, 1.097263; 0.000000, 0.050842; 0.000000, 0.110214; 0.000000, 1.103417
0.038547, 0.103999, 1.090912; 0.037205, 0.100937, 1.094087; 0.000000, 0.050842; 0.000000, 0.110214; 0.000000, 1.103417
0.038547, 0.097785, 1.090912; 0.037876, 0.099361, 1.092499; 0.000000, 0.050842; 0.000000, 0.110214; 0.000000, 1.103417
0.038547, 0.097785, 1.097165; 0.038211, 0.098573, 1.094831; 0.000000, 0.050842; 0.000000, 0.110214; 0.000000, 1.103417
0.038547, 0.103999, 1.090912; 0.038379, 0.101286, 1.092871; 0.000000, 0.050842; 0.000000, 0.110214; 0.000000, 1.103417
0.038547, 0.103999, 1.097165; 0.038463, 0.102642, 1.095017; 0.000000, 0.050842; 0.000000, 0.110214; 0.000000, 1.103417
0.044694, 0.103999, 1.097165; 0.041579, 0.103321, 1.096090; 0.000000, 0.050842; 0.000000, 0.110214; 0.000000, 1.103417
0.044694, 0.097785, 1.090912; 0.043136, 0.100553, 1.093501; 0.000000, 0.050842; 0.000000, 0.110214; 0.000000, 1.103417
0.038547, 0.103999, 1.090912; 0.040842, 0.102276, 1.092206; 0.000000, 0.050842; 0.000000, 0.110214; 0.000000, 1.103417
0.038547, 0.103999, 1.097165; 0.039694, 0.103137, 1.094685; 0.000000, 0.050842; 0.000000, 0.110214; 0.000000, 1.103417
0.038547, 0.103999, 1.090912; 0.039120, 0.103568, 1.092798; 0.000000, 0.050842; 0.000000, 0.110214; 0.000000, 1.103417
0.038547, 0.097785, 1.090912; 0.038834, 0.100676, 1.091854; 0.000000, 0.050842; 0.000000, 0.110214; 0.000000, 1.103417
0.038547, 0.103999, 1.097165; 0.038690, 0.102338, 1.094509; 0.000000, 0.050842; 0.000000, 0.110214; 0.000000, 1.103417
0.038547, 0.103999, 1.090912; 0.038618, 0.103168, 1.092710; 0.000000, 0.050842; 0.000000, 0.110214; 0.000000, 1.103417
0.038547, 0.103999, 1.090912; 0.038583, 0.103584, 1.091811; 0.000000, 0.050842; 0.000000, 0.110214; 0.000000, 1.103417
0.044694, 0.097785, 1.097165; 0.041638, 0.100684, 1.094487; 0.000000, 0.050842; 0.000000, 0.110214; 0.000000, 1.103417
0.038547, 0.103999, 1.097165; 0.040093, 0.102341, 1.095825; 0.000000, 0.050842; 0.000000, 0.110214; 0.000000, 1.103417
0.038547, 0.103999, 1.090912; 0.039320, 0.103170, 1.093368; 0.000000, 0.050842; 0.000000, 0.110214; 0.000000, 1.103417
0.038547, 0.097785, 1.090912; 0.038933, 0.100477, 1.092140; 0.000000, 0.050842; 0.000000, 0.110214; 0.000000, 1.103417
0.038547, 0.097785, 1.103417; 0.038740, 0.099131, 1.097778; 0.000000, 0.050842; 0.000000, 0.110214; 0.000000, 1.103417
0.038547, 0.097785, 1.097165; 0.038643, 0.098458, 1.097471; 0.000000, 0.050842; 0.000000, 0.110214; 0.000000, 1.103417
0.038547, 0.097785, 1.097165; 0.038595, 0.098121, 1.097317; 0.000000, 0.050842; 0.000000, 0.110214; 0.000000, 1.103417
0.038547, 0.097785, 1.097165; 0.038571, 0.097953, 1.097240; 0.000000, 0.050842; 0.000000, 0.110214; 0.000000, 1.103417
0.038547, 0.097785, 1.090912; 0.038559, 0.097869, 1.094076; 0.000000, 0.050842; 0.000000, 0.110214; 0.000000, 1.103417
0.038547, 0.097785, 1.090912; 0.038553, 0.097826, 1.092493; 0.000000, 0.050842; 0.000000, 0.110214; 0.000000, 1.103417
0.044694, 0.097785, 1.097165; 0.041624, 0.097805, 1.094828; 0.000000, 0.050842; 0.000000, 0.110214; 0.000000, 1.103417
