You entered a buffer length of 100
0.204537, -0.051363, 1.109670; 0.102269, -0.025681, 0.554835; 0.000000, 0.204537; -0.051363, 0.000000; 0.000000, 1.109670
0.198389, -0.038934, 1.103417; 0.150329, -0.032307, 0.829126; 0.000000, 0.204537; -0.051363, 0.000000; 0.000000, 1.109670
0.192241, -0.026505, 1.097165; 0.171285, -0.029406, 0.963145; 0.000000, 0.204537; -0.051363, 0.000000; 0.000000, 1.109670
0.173798, -0.007861, 1.090912; 0.172542, -0.018634, 1.027029; 0.000000, 0.204537; -0.051363, 0.000000; 0.000000, 1.109670
0.161502, 0.010782, 1.084660; 0.167022, -0.003926, 1.055844; 0.000000, 0.204537; -0.051363, 0.010782; 0.000000, 1.109670
0.149207, 0.023211, 1.084660; 0.158114, 0.009643, 1.070252; 0.000000, 0.204537; -0.051363, 0.023211; 0.000000, 1.109670
0.136911, 0.035640, 1.072154; 0.147513, 0.022641, 1.071203; 0.000000, 0.204537; -0.051363, 0.035640; 0.000000, 1.109670
0.130764, 0.048069, 1.065902; 0.139138, 0.035355, 1.068552; 0.000000, 0.204537; -0.051363, 0.048069; 0.000000, 1.109670
0.118468, 0.060498, 1.053397; 0.128803, 0.047926, 1.060975; 0.000000, 0.204537; -0.051363, 0.060498; 0.000000, 1.109670
0.112320, 0.060498, 1.059649; 0.120562, 0.054212, 1.060312; 0.000000, 0.204537; -0.051363, 0.060498; 0.000000, 1.109670
0.106172, 0.060498, 1.047144; 0.113367, 0.057355, 1.053728; 0.000000, 0.204537; -0.051363, 0.060498; 0.000000, 1.109670
0.100025, 0.060498, 1.040892; 0.106696, 0.058926, 1.047310; 0.000000, 0.204537; -0.051363, 0.060498; 0.000000, 1.109670
0.087729, 0.054283, 1.034639; 0.097212, 0.056605, 1.040974; 0.000000, 0.204537; -0.051363, 0.060498; 0.000000, 1.109670
0.081581, 0.041854, 1.028387; 0.089397, 0.049230, 1.034681; 0.000000, 0.204537; -0.051363, 0.060498; 0.000000, 1.109670
0.081581, 0.029426, 1.028387; 0.085489, 0.039328, 1.031534; 0.000000, 0.204537; -0.051363, 0.060498; 0.000000, 1.109670
0.081581, 0.016997, 1.034639; 0.083535, 0.028162, 1.033086; 0.000000, 0.204537; -0.051363, 0.060498; 0.000000, 1.109670
